time_stamp,sensor_index,humidity,temperature,pm2.5_atm,sensor_id
1731409200,220755,58.0,44.267,0.9645,220755
1731416400,220755,57.4,46.8,0.997,220755
1731398400,220755,57.367,45.567,1.0415,220755
1731373200,220755,50.166,54.733,7.096,220755
1731376800,220755,54.533,51.734,4.033,220755
1731448800,220755,50.367,51.633,3.753,220755
1732165200,220755,58.633,42.533,1.5955,220755
1732161600,220755,59.6,42.834,2.2205,220755
1732208400,220755,55.3,35.667,3.916,220755
1732194000,220755,65.867,33.867,5.129,220755
1732024800,220755,74.8,64.133,10.268,220755
1731978000,220755,63.567,63.6,18.28,220755
1732050000,220755,46.867,68.966,1.4655,220755
1732057200,220755,49.367,65.5,3.9195,220755
1731999600,220755,66.166,62.567,18.561,220755
1732017600,220755,74.933,62.8,14.0615,220755
1732089600,220755,62.566,53.367,19.232,220755
1732100400,220755,62.9,49.334,11.0375,220755
1732086000,220755,61.9,54.633,21.2435,220755
1730703600,220755,59.8,68.467,12.1255,220755
1730718000,220755,64.466,66.7,11.8075,220755
1730725200,220755,63.4,67.6,11.389,220755
1730692800,220755,56.7,69.934,11.0835,220755
1730728800,220755,69.566,66.667,11.94,220755
1730739600,220755,58.2,71.9,7.9745,220755
1730707200,220755,63.066,67.233,11.854,220755
1731207600,220755,45.534,59.9,7.846,220755
1731272400,220755,44.233,69.0,3.776,220755
1731196800,220755,45.0,60.0,7.794,220755
1730624400,220755,53.567,50.933,13.1985,220755
1730592000,220755,43.233,56.034,36.1245,220755
1730638800,220755,49.3,53.7,8.588999999999999,220755
1730602800,220755,50.2,52.267,18.0435,220755
1730646000,220755,42.867,60.633,5.6370000000000005,220755
1730613600,220755,51.1,51.8,14.3965,220755
1730588400,220755,40.5,57.966,34.1285,220755
1730556000,220755,60.033,49.3,12.6635,220755
1730545200,220755,62.966,43.0,20.1335,220755
1730512800,220755,56.6,50.034,18.134500000000003,220755
1731672000,220755,67.933,51.5,11.21,220755
1731646800,220755,70.2,53.0,25.57,220755
1731628800,220755,71.3,53.133,14.196,220755
1731654000,220755,69.934,52.8,17.7705,220755
1731697200,220755,58.5,53.567,17.7255,220755
1731708000,220755,57.166,52.966,17.65,220755
1731700800,220755,57.833,53.0,17.6535,220755
1731459600,220755,56.4,47.334,10.7775,220755
1731513600,220755,48.0,54.7,9.3205,220755
1731456000,220755,55.0,48.267,8.773,220755
1731538800,220755,65.267,53.4,15.877,220755
1731502800,220755,54.966,44.633,5.027,220755
1731168000,220755,48.334,60.066,11.8505,220755
1731124800,220755,48.834,54.0,13.835,220755
1731114000,220755,46.5,56.3,18.314,220755
1731128400,220755,48.3,53.367,11.6015,220755
1731146400,220755,58.3,49.966,14.311,220755
1731117600,220755,48.367,54.834,32.9425,220755
1731326400,220755,62.933,50.3,4.4955,220755
1731294000,220755,52.5,57.467,0.6925,220755
1731337200,220755,57.567,55.767,5.051,220755
1731297600,220755,53.4,56.666,0.716,220755
1731308400,220755,57.733,53.367,1.5665,220755
1731301200,220755,55.0,55.233,1.794,220755
1731333600,220755,61.466,52.867,5.2170000000000005,220755
1731330000,220755,63.2,51.067,7.284499999999999,220755
1730491200,220755,44.2,56.733,8.7045,220755
1730433600,220755,60.1,54.133,1.6855,220755
1730444400,220755,55.233,49.934,2.0435,220755
1730480400,220755,48.9,52.534,4.856,220755
1730484000,220755,46.5,54.533,6.27,220755
1730476800,220755,51.8,50.633,4.311,220755
1730977200,220755,65.934,51.4,6.019500000000001,220755
1730944800,220755,63.267,58.5,7.199,220755
1730966400,220755,61.867,54.233,9.196,220755
1730988000,220755,61.233,54.3,5.065,220755
1730973600,220755,65.0,52.0,5.1295,220755
1730952000,220755,62.5,58.0,7.622,220755
1731610800,220755,68.133,57.133,2.197,220755
1731607200,220755,66.834,57.733,3.0865,220755
1731582000,220755,74.733,56.267,4.0105,220755
1731567600,220755,74.4,55.0,6.6445,220755
1731546000,220755,70.166,54.034,15.336,220755
1731556800,220755,73.966,54.0,13.977,220755
1731618000,220755,66.1,56.467,7.048500000000001,220755
1731600000,220755,67.666,58.933,12.001,220755
1731574800,220755,73.966,55.867,4.388999999999999,220755
1731769200,220755,51.2,55.9,5.8955,220755
1731715200,220755,56.966,53.8,21.3135,220755
1731780000,220755,48.867,58.034,7.064500000000001,220755
1731798000,220755,56.433,53.334,18.1115,220755
1731726000,220755,59.933,53.933,23.223,220755
1731718800,220755,57.666,54.0,20.8485,220755
1730862000,220755,74.667,67.966,2.947,220755
1730901600,220755,72.133,66.1,22.8615,220755
1730905200,220755,69.7,67.466,19.0535,220755
1730887200,220755,72.433,64.0,4.7675,220755
1730880000,220755,73.034,64.934,4.815,220755
1730890800,220755,72.6,64.9,5.4510000000000005,220755
1730883600,220755,72.633,64.3,4.819,220755
1731816000,220755,64.1,48.667,12.0705,220755
1731848400,220755,67.8,47.6,10.1305,220755
1731870000,220755,50.8,65.534,10.41,220755
1731834000,220755,65.867,47.6,8.1305,220755
