time_stamp,sensor_index,humidity,temperature,pm2.5_alt,sensor_id
1730836200,220757,45.2,77.0,4.3,220757
1730824800,220757,55.4,71.0,5.5,220757
1730925600,220757,56.8,70.0,3.9,220757
1730893200,220757,73.2,64.0,5.0,220757
1730758800,220757,66.0,69.0,5.5,220757
1730698200,220757,58.6,68.8,8.4,220757
1730719200,220757,66.2,66.0,8.6,220757
1730763000,220757,64.2,69.6,5.2,220757
1730985600,220757,67.8,51.0,7.8,220757
1730955000,220757,62.2,57.0,3.4,220757
1731019800,220757,51.0,57.4,6.2,220757
1730955600,220757,62.2,57.0,3.1,220757
1730998800,220757,52.0,58.8,3.5,220757
1730947200,220757,63.6,58.0,5.1,220757
1730546400,220757,61.0,43.8,11.6,220757
1730523600,220757,57.8,48.0,14.6,220757
1730514000,220757,53.8,51.0,15.9,220757
1730527200,220757,57.4,48.0,14.4,220757
1730562600,220757,49.8,55.8,7.5,220757
1730391000,220757,73.2,65.4,2.6,220757
1730393400,220757,72.2,66.0,1.9,220757
1730350200,220757,56.2,69.0,6.2,220757
1730337600,220757,48.4,72.0,11.3,220757
1730418000,220757,69.0,65.4,5.9,220757
1730488800,220757,45.0,56.0,3.5,220757
1730452800,220757,60.0,47.0,7.1,220757
1730486400,220757,46.2,55.0,3.5,220757
1730461800,220757,63.8,43.0,1.7,220757
1730651400,220757,36.8,65.2,3.1,220757
1730661000,220757,37.8,72.8,3.7,220757
1730617200,220757,46.2,54.0,9.8,220757
1730636400,220757,48.0,53.0,6.7,220757
1731038400,220757,62.0,50.0,26.7,220757
1731054600,220757,63.4,47.4,33.4,220757
1731047400,220757,63.0,48.2,23.5,220757
1731066600,220757,64.8,45.8,21.1,220757
1730175600,220757,59.0,65.0,14.3,220757
1730227800,220757,39.2,80.0,14.1,220757
1730193600,220757,70.0,64.2,21.6,220757
1730216400,220757,54.0,72.75,19.2,220757
1730314800,220757,38.8,79.2,12.8,220757
1730323800,220757,37.0,79.0,10.0,220757
1730273400,220757,61.2,69.0,22.1,220757
1730293800,220757,68.0,64.6,22.7,220757
1730271000,220757,61.0,69.0,22.3,220757
1730251200,220757,47.8,72.8,17.5,220757
1730291400,220757,69.75,63.5,24.7,220757
1730780400,220757,60.0,68.5,4.5,220757
1730766600,220757,62.8,70.8,5.6,220757
1730766000,220757,62.4,70.6,5.5,220757
1730832000,220757,49.0,74.2,4.5,220757
1730808600,220757,64.6,67.0,3.8,220757
1730855400,220757,76.6,67.0,3.0,220757
1730858400,220757,76.0,66.6,2.2,220757
1730923200,220757,55.8,70.4,5.8,220757
1730883600,220757,74.0,63.8,4.2,220757
1730898000,220757,72.0,65.2,13.3,220757
1730934600,220757,62.8,63.0,5.2,220757
1730694000,220757,58.2,69.0,8.3,220757
1730743800,220757,61.2,70.4,6.7,220757
1730760000,220757,65.0,69.2,5.6,220757
1730732400,220757,71.2,65.0,8.8,220757
1730724000,220757,66.8,65.4,8.7,220757
1730729400,220757,72.6,65.0,9.0,220757
1730949600,220757,63.2,57.6,3.7,220757
1730991600,220757,57.8,55.6,2.5,220757
1730999400,220757,51.0,58.6,3.4,220757
1730968200,220757,63.6,53.0,8.1,220757
1730974800,220757,66.8,51.0,4.9,220757
